Schemaname,Table,Sourceobject
Fusion_AP,AP_ApprovalCode,FscmTopModelAM.FinApInvSetupInvHoldsAM.ApprovalCodePVO
Fusion_AP,APChecks,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.DisbursementHeaderExtractPVO
Fusion_AP,APExpense,FscmTopModelAM.FinExtractAM.ExmBiccExtractAM.ExpenseExtractPVO
Fusion_AP,APExpenseDistribution,FscmTopModelAM.FinExtractAM.ExmBiccExtractAM.ExpenseDistributionExtractPVO
Fusion_AP,APExpenseTypeExtractPVO,FscmTopModelAM.FinExtractAM.ExmBiccExtractAM.ExpenseTypeExtractPVO
Fusion_AP,APExpenseViolation,FscmTopModelAM.FinExtractAM.ExmBiccExtractAM.ExpenseReportExtractPVO
Fusion_AP,APInvoiceBatch,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.InvoiceBatchExtractPVO
Fusion_AP,APInvoiceDistribution,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.InvoiceDistributionExtractPVO
Fusion_AP,APInvoiceHeader,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.InvoiceHeaderExtractPVO
Fusion_AP,APInvoiceHold,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.InvoiceHoldExtractPVO
Fusion_AP,APInvoiceLine,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.InvoiceLineExtractPVO
Fusion_AP,APInvoicePaymentSchedule,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.InvoicePaymentScheduleExtractPVO
Fusion_AP,APInvoiceTypeLookup,FscmTopModelAM.FinApSharedCoreAM.InvoiceTypeLookupPVO
Fusion_AP,APPaymentTermHeaderTL,FscmTopModelAM.FinApInvSetupPmtTermsAM.PaymentTermHeaderTranslationPVO
Fusion_AP,DisbursementHistoryHeader,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.DisbursementHistoryHeaderExtractPVO
Fusion_AP,PaidDisbursementScheduleExtractPVO,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.PaidDisbursementScheduleExtractPVO
Fusion_AP,PaymentHistoryDistribution,FscmTopModelAM.FinExtractAM.ApBiccExtractAM.PaymentHistoryDistributionExtractPVO
Fusion_AR,AdjustmentDistribution,FscmTopModelAM.FinArTopPublicModelAM.AdjustmentDistributionPVO
Fusion_AR,AR_Adjustment,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.AdjustmentExtractPVO
Fusion_AR,AR_COLLECTORS,FscmTopModelAM.FinExtractAM.IexBiccExtractAM.CollectorExtractPVO
Fusion_AR,AR_ReceiptApplication,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.ReceivableApplicationExtractPVO
Fusion_AR,AR_ReceiptHeader,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.ReceiptHeaderExtractPVO
Fusion_AR,AR_ReceiptHistory,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.ReceiptHistoryExtractPVO
Fusion_AR,CustomerFinancialProfilePVO,FscmTopModelAM.FinArTopPublicModelAM.CustomerFinancialProfilePVO
Fusion_AR,PaymentSchedule,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.PaymentScheduleExtractPVO
Fusion_AR,PaymentTerm,FscmTopModelAM.FinArTopPublicModelAM.PaymentTermTranslationPVO
Fusion_AR,ReceiptApplicationDistrib,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.DistributionExtractPVO
Fusion_AR,ReceiptBatch,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.ReceiptBatchExtractPVO
Fusion_AR,TransactionHeader,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.TransactionHeaderExtractPVO
Fusion_AR,TransactionLine,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.TransactionLineExtractPVO
Fusion_AR,TransactionLineDistrib,FscmTopModelAM.FinExtractAM.ArBiccExtractAM.TransactionDistributionExtractPVO
Fusion_AR,TransactionType,FscmTopModelAM.FinArTopPublicModelAM.TransactionTypePVO
Fusion_Budget_Control,BalanceActivity,FscmTopModelAM.FinCcControlEnginePublicModelAM.BalanceActivityPVO
Fusion_Budget_Control,BudgetAccount,FscmTopModelAM.FinCcBudgetAccountPublicModelAM.BudgetAccount
Fusion_Budget_Control,ControlBudget,FscmTopModelAM.FinCcControlEnginePublicModelAM.ControlBudgetPVO
Fusion_CAL_COMMON,FiscalDayPVO,FscmTopModelAM.FinGlCalAccAM.FiscalDayPVO
Fusion_CashManagement,BankAccount,FscmTopModelAM.FinCeBankRelationshipsAM.BankAccountPVO
Fusion_CashManagement,BankAccountBalance,FscmTopModelAM.FinCeBankStatementsAM.BankAccountBalancePVO
Fusion_CashManagement,BankAccountBalanceAvailability,FscmTopModelAM.FinCeBankStatementsAM.BankAccountBalanceAvailabilityPVO
Fusion_CashManagement,BankStatementHeader,FscmTopModelAM.FinCeBankStatementsAM.BankStatementHeaderPVO
Fusion_CashManagement,BankStatementLineAvailability,FscmTopModelAM.FinCeBankStatementsAM.BankStatementLineAvailabilityPVO
Fusion_CashManagement,BankStatementLineCharges,FscmTopModelAM.FinCeBankStatementsAM.BankStatementLineChargesPVO
Fusion_CashManagement,BankStatementLines,FscmTopModelAM.FinCeBankStatementsAM.BankStatementLinesPVO
Fusion_CashManagement,BankStatementTransactionCode,FscmTopModelAM.FinCeBankStatementsAM.BankStatementTransactionCodePVO
Fusion_CashManagement,ExternalTransactions,FscmTopModelAM.FinCeCashTransactionsAM.ExternalTransactionsPVO
Fusion_COGS,costorgbookpvo,FscmTopModelAM.CostOrganizationAM.CostOrgBookPVO
Fusion_COGS,costtransactiontypepvo,FscmTopModelAM.CostTransactionTypeAM.CostTransactionTypePVO
Fusion_COGS,cstbiccextractam_costdistributionlinesextractpvo,FscmTopModelAM.ScmExtractAM.CstBiccExtractAM.CostDistributionLinesExtractPVO
Fusion_COGS,cstbiccextractam_costdistributionsextractpvo,FscmTopModelAM.ScmExtractAM.CstBiccExtractAM.CostDistributionsExtractPVO
Fusion_COGS,cstbiccextractam_costelementextractpvo,FscmTopModelAM.ScmExtractAM.CstBiccExtractAM.CostElementExtractPVO
Fusion_COGS,cstbiccextractam_cstcogstransactionsextractpvo,FscmTopModelAM.ScmExtractAM.CstBiccExtractAM.CstCogsTransactionsExtractPVO
